
Iter: 1, recon_loss: 555.9453, ce_loss: 0.6940, acc: 0.5038, mse: 0.0778, val_loss: 0.6944, val_acc: 0.4918, test_acc: 0.5296, test_auc: 0.4806
Iter: 2, recon_loss: 186.0721, ce_loss: 0.6931, acc: 0.5120, mse: 0.0262, val_loss: 0.6929, val_acc: 0.4918, test_acc: 0.5296, test_auc: 0.5613
Iter: 3, recon_loss: 88.9076, ce_loss: 0.6254, acc: 0.6373, mse: 0.0128, val_loss: 0.5211, val_acc: 0.7723, test_acc: 0.8169, test_auc: 0.8694
Iter: 4, recon_loss: 18.5710, ce_loss: 0.4820, acc: 0.7826, mse: 0.0033, val_loss: 0.4948, val_acc: 0.7723, test_acc: 0.8300, test_auc: 0.8742
Iter: 5, recon_loss: 10.5679, ce_loss: 0.4736, acc: 0.7861, mse: 0.0021, val_loss: 0.4892, val_acc: 0.7805, test_acc: 0.8338, test_auc: 0.8785
Iter: 6, recon_loss: 8.9808, ce_loss: 0.4695, acc: 0.7943, mse: 0.0019, val_loss: 0.4853, val_acc: 0.7852, test_acc: 0.8263, test_auc: 0.8738
Iter: 7, recon_loss: 8.2005, ce_loss: 0.4656, acc: 0.7952, mse: 0.0018, val_loss: 0.4854, val_acc: 0.7840, test_acc: 0.8338, test_auc: 0.8818
Iter: 8, recon_loss: 7.6298, ce_loss: 0.4627, acc: 0.7946, mse: 0.0017, val_loss: 0.4832, val_acc: 0.7911, test_acc: 0.8329, test_auc: 0.8840
Iter: 9, recon_loss: 6.8219, ce_loss: 0.4583, acc: 0.8011, mse: 0.0016, val_loss: 0.4783, val_acc: 0.7911, test_acc: 0.8329, test_auc: 0.8866
Iter: 10, recon_loss: 5.5903, ce_loss: 0.4537, acc: 0.8058, mse: 0.0014, val_loss: 0.4754, val_acc: 0.7923, test_acc: 0.8394, test_auc: 0.8887
Iter: 11, recon_loss: 5.5854, ce_loss: 0.4469, acc: 0.8163, mse: 0.0012, val_loss: 0.4700, val_acc: 0.8052, test_acc: 0.8535, test_auc: 0.8967
Iter: 12, recon_loss: 5.8022, ce_loss: 0.4385, acc: 0.8234, mse: 0.0011, val_loss: 0.4685, val_acc: 0.8005, test_acc: 0.8507, test_auc: 0.8948
Iter: 13, recon_loss: 5.8940, ce_loss: 0.4352, acc: 0.8272, mse: 0.0011, val_loss: 0.4587, val_acc: 0.8110, test_acc: 0.8545, test_auc: 0.8982
Iter: 14, recon_loss: 5.8477, ce_loss: 0.4319, acc: 0.8278, mse: 0.0010, val_loss: 0.4571, val_acc: 0.8099, test_acc: 0.8535, test_auc: 0.9049
Iter: 15, recon_loss: 5.7158, ce_loss: 0.4280, acc: 0.8289, mse: 0.0010, val_loss: 0.4478, val_acc: 0.8157, test_acc: 0.8545, test_auc: 0.9211
Iter: 16, recon_loss: 5.6207, ce_loss: 0.4259, acc: 0.8313, mse: 0.0010, val_loss: 0.4486, val_acc: 0.8075, test_acc: 0.8554, test_auc: 0.9233
Iter: 17, recon_loss: 5.6947, ce_loss: 0.4126, acc: 0.8298, mse: 0.0010, val_loss: 0.4016, val_acc: 0.8498, test_acc: 0.8873, test_auc: 0.9335
Iter: 18, recon_loss: 5.6313, ce_loss: 0.4059, acc: 0.8430, mse: 0.0010, val_loss: 0.4128, val_acc: 0.8392, test_acc: 0.8714, test_auc: 0.9345
Iter: 19, recon_loss: 5.4255, ce_loss: 0.3819, acc: 0.8524, mse: 0.0010, val_loss: 0.3658, val_acc: 0.8568, test_acc: 0.8789, test_auc: 0.9410
Iter: 20, recon_loss: 5.5103, ce_loss: 0.3773, acc: 0.8460, mse: 0.0010, val_loss: 0.3663, val_acc: 0.8721, test_acc: 0.8873, test_auc: 0.9412
Iter: 21, recon_loss: 5.3166, ce_loss: 0.3582, acc: 0.8524, mse: 0.0010, val_loss: 0.3599, val_acc: 0.8662, test_acc: 0.8770, test_auc: 0.9417
Iter: 22, recon_loss: 5.1835, ce_loss: 0.3373, acc: 0.8624, mse: 0.0010, val_loss: 0.3381, val_acc: 0.8697, test_acc: 0.8817, test_auc: 0.9429
Iter: 23, recon_loss: 5.0830, ce_loss: 0.3467, acc: 0.8589, mse: 0.0010, val_loss: 0.4575, val_acc: 0.8357, test_acc: 0.8836, test_auc: 0.9302
Iter: 24, recon_loss: 5.0129, ce_loss: 0.4006, acc: 0.8418, mse: 0.0010, val_loss: 0.4112, val_acc: 0.8498, test_acc: 0.8883, test_auc: 0.9336
Iter: 25, recon_loss: 4.8321, ce_loss: 0.3750, acc: 0.8474, mse: 0.0010, val_loss: 0.3439, val_acc: 0.8709, test_acc: 0.8873, test_auc: 0.9424
Iter: 26, recon_loss: 4.7615, ce_loss: 0.3538, acc: 0.8550, mse: 0.0010, val_loss: 0.4222, val_acc: 0.8415, test_acc: 0.8742, test_auc: 0.9319
Iter: 27, recon_loss: 4.6667, ce_loss: 0.3347, acc: 0.8668, mse: 0.0009, val_loss: 0.3561, val_acc: 0.8650, test_acc: 0.8911, test_auc: 0.9409
Iter: 28, recon_loss: 4.7792, ce_loss: 0.4121, acc: 0.8301, mse: 0.0010, val_loss: 0.4452, val_acc: 0.8263, test_acc: 0.8629, test_auc: 0.9259
Iter: 29, recon_loss: 4.0052, ce_loss: 0.3685, acc: 0.8556, mse: 0.0008, val_loss: 0.3390, val_acc: 0.8685, test_acc: 0.8826, test_auc: 0.9414
Iter: 30, recon_loss: 3.5138, ce_loss: 0.3460, acc: 0.8603, mse: 0.0008, val_loss: 0.3599, val_acc: 0.8451, test_acc: 0.8751, test_auc: 0.9404
Iter: 31, recon_loss: 3.1543, ce_loss: 0.3407, acc: 0.8612, mse: 0.0007, val_loss: 0.3341, val_acc: 0.8650, test_acc: 0.8789, test_auc: 0.9435
Iter: 32, recon_loss: 2.7724, ce_loss: 0.3278, acc: 0.8600, mse: 0.0006, val_loss: 0.3432, val_acc: 0.8592, test_acc: 0.8873, test_auc: 0.9467
Iter: 33, recon_loss: 2.6030, ce_loss: 0.3201, acc: 0.8659, mse: 0.0006, val_loss: 0.3339, val_acc: 0.8732, test_acc: 0.8977, test_auc: 0.9463
Iter: 34, recon_loss: 2.5493, ce_loss: 0.3187, acc: 0.8650, mse: 0.0006, val_loss: 0.3292, val_acc: 0.8685, test_acc: 0.8836, test_auc: 0.9450
Iter: 35, recon_loss: 2.4564, ce_loss: 0.3137, acc: 0.8706, mse: 0.0006, val_loss: 0.3407, val_acc: 0.8592, test_acc: 0.8883, test_auc: 0.9465
Iter: 36, recon_loss: 2.3290, ce_loss: 0.3123, acc: 0.8668, mse: 0.0006, val_loss: 0.3414, val_acc: 0.8638, test_acc: 0.8826, test_auc: 0.9452
Iter: 37, recon_loss: 2.2824, ce_loss: 0.3095, acc: 0.8685, mse: 0.0006, val_loss: 0.3245, val_acc: 0.8709, test_acc: 0.8883, test_auc: 0.9479
Iter: 38, recon_loss: 2.4072, ce_loss: 0.3448, acc: 0.8577, mse: 0.0006, val_loss: 0.3670, val_acc: 0.8486, test_acc: 0.8742, test_auc: 0.9421
Iter: 39, recon_loss: 2.4539, ce_loss: 0.3201, acc: 0.8633, mse: 0.0006, val_loss: 0.3236, val_acc: 0.8721, test_acc: 0.8854, test_auc: 0.9460
Iter: 40, recon_loss: 2.3493, ce_loss: 0.3101, acc: 0.8677, mse: 0.0006, val_loss: 0.3299, val_acc: 0.8674, test_acc: 0.8958, test_auc: 0.9482
Iter: 41, recon_loss: 2.2332, ce_loss: 0.3078, acc: 0.8729, mse: 0.0006, val_loss: 0.3113, val_acc: 0.8744, test_acc: 0.8883, test_auc: 0.9480
