
Iter: 1, recon_loss: 735.9583, ce_loss: 0.6941, acc: 0.5006, mse: 0.1256, val_loss: 0.6947, val_acc: 0.4918, test_acc: 0.5296, test_auc: 0.4678
Iter: 2, recon_loss: 247.8779, ce_loss: 0.6930, acc: 0.5120, mse: 0.0429, val_loss: 0.6930, val_acc: 0.4977, test_acc: 0.5305, test_auc: 0.5483
Iter: 3, recon_loss: 115.0066, ce_loss: 0.6249, acc: 0.6379, mse: 0.0203, val_loss: 0.5197, val_acc: 0.7688, test_acc: 0.8160, test_auc: 0.8680
Iter: 4, recon_loss: 23.1028, ce_loss: 0.4833, acc: 0.7814, mse: 0.0046, val_loss: 0.4932, val_acc: 0.7840, test_acc: 0.8282, test_auc: 0.8716
Iter: 5, recon_loss: 14.7544, ce_loss: 0.4749, acc: 0.7852, mse: 0.0032, val_loss: 0.4901, val_acc: 0.7770, test_acc: 0.8282, test_auc: 0.8763
Iter: 6, recon_loss: 13.0442, ce_loss: 0.4708, acc: 0.7917, mse: 0.0029, val_loss: 0.4860, val_acc: 0.7840, test_acc: 0.8272, test_auc: 0.8716
Iter: 7, recon_loss: 12.1107, ce_loss: 0.4671, acc: 0.7940, mse: 0.0027, val_loss: 0.4857, val_acc: 0.7829, test_acc: 0.8310, test_auc: 0.8802
Iter: 8, recon_loss: 11.3731, ce_loss: 0.4642, acc: 0.7958, mse: 0.0026, val_loss: 0.4847, val_acc: 0.7829, test_acc: 0.8282, test_auc: 0.8818
Iter: 9, recon_loss: 10.3772, ce_loss: 0.4603, acc: 0.7975, mse: 0.0024, val_loss: 0.4801, val_acc: 0.7899, test_acc: 0.8329, test_auc: 0.8842
Iter: 10, recon_loss: 8.5997, ce_loss: 0.4560, acc: 0.8037, mse: 0.0021, val_loss: 0.4772, val_acc: 0.7911, test_acc: 0.8357, test_auc: 0.8880
Iter: 11, recon_loss: 8.1053, ce_loss: 0.4491, acc: 0.8131, mse: 0.0017, val_loss: 0.4702, val_acc: 0.8052, test_acc: 0.8488, test_auc: 0.8972
Iter: 12, recon_loss: 8.2201, ce_loss: 0.4402, acc: 0.8204, mse: 0.0015, val_loss: 0.4663, val_acc: 0.8063, test_acc: 0.8516, test_auc: 0.8957
Iter: 13, recon_loss: 8.2048, ce_loss: 0.4377, acc: 0.8225, mse: 0.0015, val_loss: 0.4579, val_acc: 0.8099, test_acc: 0.8573, test_auc: 0.8997
Iter: 14, recon_loss: 8.0656, ce_loss: 0.4344, acc: 0.8254, mse: 0.0014, val_loss: 0.4613, val_acc: 0.8028, test_acc: 0.8498, test_auc: 0.9074
Iter: 15, recon_loss: 7.9229, ce_loss: 0.4293, acc: 0.8257, mse: 0.0014, val_loss: 0.4492, val_acc: 0.8063, test_acc: 0.8526, test_auc: 0.9254
Iter: 16, recon_loss: 7.7809, ce_loss: 0.4212, acc: 0.8257, mse: 0.0014, val_loss: 0.4315, val_acc: 0.8040, test_acc: 0.8582, test_auc: 0.9315
Iter: 17, recon_loss: 8.0680, ce_loss: 0.3907, acc: 0.8374, mse: 0.0015, val_loss: 0.3845, val_acc: 0.8462, test_acc: 0.8751, test_auc: 0.9428
Iter: 18, recon_loss: 8.4279, ce_loss: 0.3870, acc: 0.8413, mse: 0.0016, val_loss: 0.3586, val_acc: 0.8685, test_acc: 0.8854, test_auc: 0.9399
Iter: 19, recon_loss: 7.5838, ce_loss: 0.3476, acc: 0.8594, mse: 0.0014, val_loss: 0.3501, val_acc: 0.8638, test_acc: 0.8864, test_auc: 0.9447
Iter: 20, recon_loss: 7.7882, ce_loss: 0.3627, acc: 0.8483, mse: 0.0015, val_loss: 0.3648, val_acc: 0.8580, test_acc: 0.8920, test_auc: 0.9450
Iter: 21, recon_loss: 7.7929, ce_loss: 0.3616, acc: 0.8460, mse: 0.0015, val_loss: 0.3831, val_acc: 0.8451, test_acc: 0.8657, test_auc: 0.9345
Iter: 22, recon_loss: 7.5988, ce_loss: 0.3408, acc: 0.8594, mse: 0.0014, val_loss: 0.3499, val_acc: 0.8615, test_acc: 0.8836, test_auc: 0.9435
Iter: 23, recon_loss: 7.6806, ce_loss: 0.3517, acc: 0.8577, mse: 0.0015, val_loss: 0.4541, val_acc: 0.8380, test_acc: 0.8873, test_auc: 0.9294
Iter: 24, recon_loss: 7.5448, ce_loss: 0.3428, acc: 0.8615, mse: 0.0014, val_loss: 0.3390, val_acc: 0.8603, test_acc: 0.8826, test_auc: 0.9460
Iter: 25, recon_loss: 7.4323, ce_loss: 0.3479, acc: 0.8556, mse: 0.0014, val_loss: 0.3566, val_acc: 0.8662, test_acc: 0.8761, test_auc: 0.9395
Iter: 26, recon_loss: 7.5247, ce_loss: 0.3418, acc: 0.8594, mse: 0.0014, val_loss: 0.3388, val_acc: 0.8674, test_acc: 0.8892, test_auc: 0.9439
